game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,overtime,div_game,away_rest,home_rest,away_coach,home_coach,referee,stadium_id,stadium
2024_01_BAL_KC,2024,REG,1,2024-09-05,Thursday,20:20,BAL,20,KC,27,Home,7,0,0,7,7,John Harbaugh,Andy Reid,Shawn Hochuli,KAN00,GEHA Field at Arrowhead Stadium
2024_01_GB_PHI,2024,REG,1,2024-09-06,Friday,20:15,GB,29,PHI,34,Neutral,5,0,0,7,7,Matt LaFleur,Nick Sirianni,Ron Torbert,SAO00,Arena Corinthians
2024_01_PIT_ATL,2024,REG,1,2024-09-08,Sunday,13:00,PIT,18,ATL,10,Home,-8,0,0,7,7,Mike Tomlin,Raheem Morris,Brad Rogers,ATL97,Mercedes-Benz Stadium
2024_01_ARI_BUF,2024,REG,1,2024-09-08,Sunday,13:00,ARI,28,BUF,34,Home,6,0,0,7,7,Jonathan Gannon,Sean McDermott,Tra Blake,BUF00,New Era Field
2024_01_TEN_CHI,2024,REG,1,2024-09-08,Sunday,13:00,TEN,17,CHI,24,Home,7,0,0,7,7,Brian Callahan,Matt Eberflus,Shawn Smith,CHI98,Soldier Field
2024_01_NE_CIN,2024,REG,1,2024-09-08,Sunday,13:00,NE,16,CIN,10,Home,-6,0,0,7,7,Jerod Mayo,Zac Taylor,Land Clark,CIN00,Paycor Stadium
2024_01_HOU_IND,2024,REG,1,2024-09-08,Sunday,13:00,HOU,29,IND,27,Home,-2,0,1,7,7,DeMeco Ryans,Shane Steichen,John Hussey,IND00,Lucas Oil Stadium
2024_01_JAX_MIA,2024,REG,1,2024-09-08,Sunday,13:00,JAX,17,MIA,20,Home,3,0,0,7,7,Doug Pederson,Mike McDaniel,Craig Wrolstad,MIA00,Hard Rock Stadium
2024_01_CAR_NO,2024,REG,1,2024-09-08,Sunday,13:00,CAR,10,NO,47,Home,37,0,1,7,7,Dave Canales,Dennis Allen,Alan Eck,NOR00,Mercedes-Benz Superdome
2024_01_MIN_NYG,2024,REG,1,2024-09-08,Sunday,13:00,MIN,28,NYG,6,Home,-22,0,0,7,7,Kevin O'Connell,Brian Daboll,Alex Kemp,NYC01,MetLife Stadium
2024_01_LV_LAC,2024,REG,1,2024-09-08,Sunday,16:05,LV,10,LAC,22,Home,12,0,1,7,7,Antonio Pierce,Jim Harbaugh,Scott Novak,LAX01,SoFi Stadium
2024_01_DEN_SEA,2024,REG,1,2024-09-08,Sunday,16:05,DEN,20,SEA,26,Home,6,0,0,7,7,Sean Payton,Mike Macdonald,Brad Allen,SEA00,Lumen Field
2024_01_DAL_CLE,2024,REG,1,2024-09-08,Sunday,16:25,DAL,33,CLE,17,Home,-16,0,0,7,7,Mike McCarthy,Kevin Stefanski,Clete Blakeman,CLE00,FirstEnergy Stadium
2024_01_WAS_TB,2024,REG,1,2024-09-08,Sunday,16:25,WAS,20,TB,37,Home,17,0,0,7,7,Dan Quinn,Todd Bowles,Bill Vinovich,TAM00,Raymond James Stadium
2024_01_LA_DET,2024,REG,1,2024-09-08,Sunday,20:20,LAR,20,DET,26,Home,6,1,0,7,7,Sean McVay,Dan Campbell,Adrian Hill,DET00,Ford Field
2024_01_NYJ_SF,2024,REG,1,2024-09-09,Monday,20:15,NYJ,19,SF,32,Home,13,0,0,7,7,Robert Saleh,Kyle Shanahan,Carl Cheffers,SFO01,Levi's Stadium
