game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,overtime,div_game,away_rest,home_rest,away_coach,home_coach,referee,stadium_id,stadium
2025_01_DAL_PHI,2025,REG,1,2025-09-04,Thursday,20:20,DAL,20,PHI,24,Home,4,0,1,7,7,Brian Schottenheimer,Nick Sirianni,Shawn Smith,PHI00,Lincoln Financial Field
2025_01_KC_LAC,2025,REG,1,2025-09-05,Friday,20:00,KC,21,LAC,27,Neutral,6,0,1,7,7,Andy Reid,Jim Harbaugh,Carl Cheffers,LAX01,SoFi Stadium
2025_01_TB_ATL,2025,REG,1,2025-09-07,Sunday,13:00,TB,23,ATL,20,Home,-3,0,1,7,7,Todd Bowles,Raheem Morris,Land Clark,ATL97,Mercedes-Benz Stadium
2025_01_CIN_CLE,2025,REG,1,2025-09-07,Sunday,13:00,CIN,17,CLE,16,Home,-1,0,1,7,7,Zac Taylor,Kevin Stefanski,Adrian Hill,CLE00,FirstEnergy Stadium
2025_01_MIA_IND,2025,REG,1,2025-09-07,Sunday,13:00,MIA,8,IND,33,Home,25,0,0,7,7,Mike McDaniel,Shane Steichen,Brad Allen,IND00,Lucas Oil Stadium
2025_01_CAR_JAX,2025,REG,1,2025-09-07,Sunday,13:00,CAR,10,JAX,26,Home,16,0,0,7,7,Dave Canales,Liam Coen,Alex Moore,JAX00,TIAA Bank Stadium
2025_01_LV_NE,2025,REG,1,2025-09-07,Sunday,13:00,LV,20,NE,13,Home,-7,0,0,7,7,Pete Carroll,Mike Vrabel,Ron Torbert,BOS00,Gillette Stadium
2025_01_ARI_NO,2025,REG,1,2025-09-07,Sunday,13:00,ARI,20,NO,13,Home,-7,0,0,7,7,Jonathan Gannon,Kellen Moore,Scott Novak,NOR00,Mercedes-Benz Superdome
2025_01_PIT_NYJ,2025,REG,1,2025-09-07,Sunday,13:00,PIT,34,NYJ,32,Home,-2,0,0,7,7,Mike Tomlin,Aaron Glenn,Bill Vinovich,NYC01,MetLife Stadium
2025_01_NYG_WAS,2025,REG,1,2025-09-07,Sunday,13:00,NYG,6,WAS,21,Home,15,0,1,7,7,Brian Daboll,Dan Quinn,Clay Martin,WAS00,FedExField
2025_01_TEN_DEN,2025,REG,1,2025-09-07,Sunday,16:05,TEN,12,DEN,20,Home,8,0,0,7,7,Brian Callahan,Sean Payton,Alex Kemp,DEN00,Empower Field at Mile High
2025_01_SF_SEA,2025,REG,1,2025-09-07,Sunday,16:05,SF,17,SEA,13,Home,-4,0,1,7,7,Kyle Shanahan,Mike Macdonald,Shawn Hochuli,SEA00,Lumen Field
2025_01_DET_GB,2025,REG,1,2025-09-07,Sunday,16:25,DET,13,GB,27,Home,14,0,1,7,7,Dan Campbell,Matt LaFleur,Clete Blakeman,GNB00,Lambeau Field
2025_01_HOU_LA,2025,REG,1,2025-09-07,Sunday,16:25,HOU,9,LAR,14,Home,5,0,0,7,7,DeMeco Ryans,Sean McVay,Craig Wrolstad,LAX01,SoFi Stadium
2025_01_BAL_BUF,2025,REG,1,2025-09-07,Sunday,20:20,BAL,40,BUF,41,Home,1,0,0,7,7,John Harbaugh,Sean McDermott,John Hussey,BUF00,New Era Field
2025_01_MIN_CHI,2025,REG,1,2025-09-08,Monday,20:15,MIN,27,CHI,24,Home,-3,0,1,7,7,Kevin O'Connell,Ben Johnson,Alan Eck,CHI98,Soldier Field
2025_02_WAS_GB,2025,REG,2,2025-09-11,Thursday,20:15,WAS,18,GB,27,Home,9,0,0,4,4,Dan Quinn,Matt LaFleur,Brad Rogers,GNB00,Lambeau Field
2025_02_CLE_BAL,2025,REG,2,2025-09-14,Sunday,13:00,CLE,17,BAL,41,Home,24,0,1,7,7,Kevin Stefanski,John Harbaugh,Brad Allen,BAL00,M&T Bank Stadium
2025_02_JAX_CIN,2025,REG,2,2025-09-14,Sunday,13:00,JAX,27,CIN,31,Home,4,0,0,7,7,Liam Coen,Zac Taylor,Alan Eck,CIN00,Paycor Stadium
