Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
E0,05/08/2022,20:00,Crystal Palace,Arsenal,0,2,A
E0,06/08/2022,12:30,Fulham,Liverpool,2,2,D
E0,06/08/2022,15:00,Tottenham,Southampton,4,1,H
E0,06/08/2022,15:00,Newcastle,Nott'm Forest,2,0,H
E0,06/08/2022,15:00,Leeds,Wolves,2,1,H
E0,06/08/2022,15:00,Bournemouth,Aston Villa,2,0,H
E0,06/08/2022,17:30,Everton,Chelsea,0,1,A
E0,07/08/2022,14:00,Man United,Brighton,1,2,A
E0,07/08/2022,14:00,Leicester,Brentford,2,2,D
E0,07/08/2022,16:30,West Ham,Man City,0,2,A
E0,13/08/2022,12:30,Aston Villa,Everton,2,1,H
E0,13/08/2022,15:00,Wolves,Fulham,0,0,D
E0,13/08/2022,15:00,Southampton,Leeds,2,2,D
E0,13/08/2022,15:00,Man City,Bournemouth,4,0,H
E0,13/08/2022,15:00,Brighton,Newcastle,0,0,D
E0,13/08/2022,15:00,Arsenal,Leicester,4,2,H
E0,13/08/2022,17:30,Brentford,Man United,4,0,H
E0,14/08/2022,14:00,Nott'm Forest,West Ham,1,0,H
E0,14/08/2022,16:30,Chelsea,Tottenham,2,2,D
E0,15/08/2022,20:00,Liverpool,Crystal Palace,1,1,D
E0,20/08/2022,12:30,Tottenham,Wolves,1,0,H
E0,20/08/2022,15:00,Leicester,Southampton,1,2,A
E0,20/08/2022,15:00,Fulham,Brentford,3,2,H
E0,20/08/2022,15:00,Everton,Nott'm Forest,1,1,D
E0,20/08/2022,15:00,Crystal Palace,Aston Villa,3,1,H
E0,20/08/2022,17:30,Bournemouth,Arsenal,0,3,A
E0,21/08/2022,14:00,West Ham,Brighton,0,2,A
E0,21/08/2022,14:00,Leeds,Chelsea,3,0,H
E0,21/08/2022,16:30,Newcastle,Man City,3,3,D
E0,22/08/2022,20:00,Man United,Liverpool,2,1,H
E0,27/08/2022,12:30,Southampton,Man United,0,1,A
E0,27/08/2022,15:00,Man City,Crystal Palace,4,2,H
E0,27/08/2022,15:00,Liverpool,Bournemouth,9,0,H
E0,27/08/2022,15:00,Chelsea,Leicester,2,1,H
E0,27/08/2022,15:00,Brighton,Leeds,1,0,H
E0,27/08/2022,15:00,Brentford,Everton,1,1,D
E0,27/08/2022,17:30,Arsenal,Fulham,2,1,H
E0,28/08/2022,14:00,Wolves,Newcastle,1,1,D
E0,28/08/2022,14:00,Aston Villa,West Ham,0,1,A
E0,28/08/2022,16:30,Nott'm Forest,Tottenham,0,2,A
E0,30/08/2022,19:30,Crystal Palace,Brentford,1,1,D
E0,30/08/2022,19:30,Fulham,Brighton,2,1,H
E0,30/08/2022,19:45,Southampton,Chelsea,2,1,H
E0,30/08/2022,20:00,Leeds,Everton,1,1,D
E0,31/08/2022,19:30,Man City,Nott'm Forest,6,0,H
E0,31/08/2022,19:30,Bournemouth,Wolves,0,0,D
E0,31/08/2022,19:30,Arsenal,Aston Villa,2,1,H
E0,31/08/2022,19:45,West Ham,Tottenham,1,1,D
E0,31/08/2022,20:00,Liverpool,Newcastle,2,1,H
E0,01/09/2022,20:00,Leicester,Man United,0,1,A
E0,03/09/2022,12:30,Everton,Liverpool,0,0,D
E0,03/09/2022,15:00,Wolves,Southampton,1,0,H
E0,03/09/2022,15:00,Tottenham,Fulham,2,1,H
E0,03/09/2022,15:00,Nott'm Forest,Bournemouth,2,3,A
E0,03/09/2022,15:00,Newcastle,Crystal Palace,0,0,D
E0,03/09/2022,15:00,Chelsea,West Ham,2,1,H
E0,03/09/2022,15:00,Brentford,Leeds,5,2,H
E0,03/09/2022,17:30,Aston Villa,Man City,1,1,D
E0,04/09/2022,14:00,Brighton,Leicester,5,2,H
E0,04/09/2022,16:30,Man United,Arsenal,3,1,H
E0,16/09/2022,20:00,Nott'm Forest,Fulham,2,3,A
E0,16/09/2022,20:00,Aston Villa,Southampton,1,0,H
E0,17/09/2022,12:30,Wolves,Man City,0,3,A
E0,17/09/2022,15:00,Newcastle,Bournemouth,1,1,D
E0,17/09/2022,17:30,Tottenham,Leicester,6,2,H
E0,18/09/2022,12:00,Brentford,Arsenal,0,3,A
E0,18/09/2022,14:15,Everton,West Ham,1,0,H
E0,01/10/2022,12:30,Arsenal,Tottenham,3,1,H
E0,01/10/2022,15:00,Southampton,Everton,1,2,A
E0,01/10/2022,15:00,Liverpool,Brighton,3,3,D
E0,01/10/2022,15:00,Fulham,Newcastle,1,4,A
E0,01/10/2022,15:00,Crystal Palace,Chelsea,1,2,A
E0,01/10/2022,15:00,Bournemouth,Brentford,0,0,D
E0,01/10/2022,17:30,West Ham,Wolves,2,0,H
E0,02/10/2022,14:00,Man City,Man United,6,3,H
E0,02/10/2022,16:30,Leeds,Aston Villa,0,0,D
E0,03/10/2022,20:00,Leicester,Nott'm Forest,4,0,H
E0,08/10/2022,15:00,Newcastle,Brentford,5,1,H
E0,08/10/2022,15:00,Man City,Southampton,4,0,H
E0,08/10/2022,15:00,Chelsea,Wolves,3,0,H
E0,08/10/2022,15:00,Bournemouth,Leicester,2,1,H
E0,08/10/2022,17:30,Brighton,Tottenham,0,1,A
E0,09/10/2022,14:00,West Ham,Fulham,3,1,H
E0,09/10/2022,14:00,Crystal Palace,Leeds,2,1,H
E0,09/10/2022,16:30,Arsenal,Liverpool,3,2,H
E0,09/10/2022,19:00,Everton,Man United,1,2,A
E0,10/10/2022,20:00,Nott'm Forest,Aston Villa,1,1,D
E0,14/10/2022,20:00,Brentford,Brighton,2,0,H
E0,15/10/2022,12:30,Leicester,Crystal Palace,0,0,D
E0,15/10/2022,15:00,Wolves,Nott'm Forest,1,0,H
E0,15/10/2022,15:00,Fulham,Bournemouth,2,2,D
E0,15/10/2022,17:30,Tottenham,Everton,2,0,H
E0,16/10/2022,14:00,Southampton,West Ham,1,1,D
E0,16/10/2022,14:00,Man United,Newcastle,0,0,D
E0,16/10/2022,14:00,Leeds,Arsenal,0,1,A
